model,set,bias,bits,cov90,excess,gain,move,n,ncrps,stay,target
deepseek/deepseek-chat,bank|90,-0.122,0.4582,,0.1216,,,150,,,
deepseek/deepseek-chat,bank|120,-0.1248,0.545,,0.139,,,150,,,
deepseek/deepseek-chat,bank|150,-0.1068,0.521,,0.1387,,,150,,,
deepseek/deepseek-chat,bank|180,-0.095,0.5483,,0.1398,,,150,,,
deepseek/deepseek-chat,bank|210,-0.1142,0.4884,,0.1325,,,150,,,
deepseek/deepseek-chat,bank|all,-0.1125,0.5122,,0.1343,,,750,,,
deepseek/deepseek-chat,tails|90,0.2832,0.5362,,0.1254,,,60,,,
deepseek/deepseek-chat,tails|120,0.2562,0.4625,,0.106,,,60,,,
deepseek/deepseek-chat,tails|150,0.281,0.5256,,0.1215,,,60,,,
deepseek/deepseek-chat,tails|180,0.2959,0.5506,,0.1337,,,60,,,
deepseek/deepseek-chat,tails|210,0.2903,0.5555,,0.1356,,,60,,,
deepseek/deepseek-chat,tails|all,0.2813,0.5261,,0.1244,,,300,,,
deepseek/deepseek-chat,mirrors|90,-0.4338,0.8726,,0.2304,,,10,,,
deepseek/deepseek-chat,mirrors|120,-0.4589,0.8905,,0.2281,,,10,,,
deepseek/deepseek-chat,mirrors|150,-0.5922,1.6312,,0.4143,,,10,,,
deepseek/deepseek-chat,mirrors|180,-0.6365,1.6951,,0.466,,,10,,,
deepseek/deepseek-chat,mirrors|210,-0.526,1.4023,,0.3798,,,10,,,
deepseek/deepseek-chat,mirrors|all,-0.5295,1.2983,,0.3437,,,50,,,
deepseek/deepseek-chat,continuous|90,,,0.5712,0.2773,,,60,0.3466,,
deepseek/deepseek-chat,continuous|120,,,0.4185,0.6747,,,60,0.8001,,
deepseek/deepseek-chat,continuous|150,,,0.4889,0.625,,,60,0.7755,,
deepseek/deepseek-chat,continuous|180,,,0.3898,0.7776,,,60,0.9689,,
deepseek/deepseek-chat,continuous|210,,,0.4306,0.6742,,,60,0.8889,,
deepseek/deepseek-chat,continuous|all,,,0.4598,0.6057,,,300,0.756,,
deepseek/deepseek-chat,natcond|120,,,,0.1257,-0.0275,0.2661,100,,0.0982,0.1029
deepseek/deepseek-chat,natcond|150,,,,0.1238,-0.0101,0.2365,100,,0.1137,0.067
deepseek/deepseek-chat,natcond|180,,,,0.1214,0.0115,0.2375,100,,0.1329,0.0879
deepseek/deepseek-chat,natcond|210,,,,0.1204,0.0166,0.1659,100,,0.137,0.0364
deepseek/deepseek-chat,natcond|all,,,,0.1228,-0.0024,0.2265,400,,0.1204,0.0735
meta-llama/llama-4-scout,bank|90,-0.1448,0.4113,,0.1197,,,150,,,
meta-llama/llama-4-scout,bank|120,-0.1238,0.4761,,0.1372,,,150,,,
meta-llama/llama-4-scout,bank|150,-0.1503,0.5078,,0.142,,,150,,,
meta-llama/llama-4-scout,bank|180,-0.1635,0.4703,,0.1204,,,150,,,
meta-llama/llama-4-scout,bank|210,-0.1883,0.4627,,0.1298,,,150,,,
meta-llama/llama-4-scout,bank|all,-0.1541,0.4657,,0.1298,,,750,,,
meta-llama/llama-4-scout,tails|90,0.3111,0.615,,0.1493,,,60,,,
meta-llama/llama-4-scout,tails|120,0.2427,0.3886,,0.0831,,,60,,,
meta-llama/llama-4-scout,tails|150,0.3073,0.586,,0.1423,,,60,,,
meta-llama/llama-4-scout,tails|180,0.2866,0.5661,,0.1311,,,60,,,
meta-llama/llama-4-scout,tails|210,0.2715,0.47,,0.1072,,,60,,,
meta-llama/llama-4-scout,tails|all,0.2838,0.5251,,0.1226,,,300,,,
meta-llama/llama-4-scout,mirrors|90,-0.5238,1.8574,,0.3387,,,10,,,
meta-llama/llama-4-scout,mirrors|120,-0.4839,1.1271,,0.2876,,,10,,,
meta-llama/llama-4-scout,mirrors|150,-0.6522,1.7722,,0.4672,,,10,,,
meta-llama/llama-4-scout,mirrors|180,-0.6215,1.534,,0.425,,,10,,,
meta-llama/llama-4-scout,mirrors|210,-0.631,1.7925,,0.462,,,10,,,
meta-llama/llama-4-scout,mirrors|all,-0.5825,1.6167,,0.3961,,,50,,,
meta-llama/llama-4-scout,continuous|90,,,0.6129,0.6167,,,60,0.686,,
meta-llama/llama-4-scout,continuous|120,,,0.6569,0.6601,,,60,0.7855,,
meta-llama/llama-4-scout,continuous|150,,,0.6423,0.6422,,,60,0.7927,,
meta-llama/llama-4-scout,continuous|180,,,0.6395,0.6944,,,60,0.8857,,
meta-llama/llama-4-scout,continuous|210,,,0.6078,0.7657,,,60,0.9804,,
meta-llama/llama-4-scout,continuous|all,,,0.6319,0.6758,,,300,0.8261,,
meta-llama/llama-4-scout,natcond|120,,,,0.1111,-0.0186,0.2543,100,,0.0925,0.1029
meta-llama/llama-4-scout,natcond|150,,,,0.1523,-0.0337,0.2529,100,,0.1186,0.067
meta-llama/llama-4-scout,natcond|180,,,,0.109,0.0002,0.2687,100,,0.1093,0.0879
meta-llama/llama-4-scout,natcond|210,,,,0.1211,0.0148,0.1722,100,,0.1359,0.0364
meta-llama/llama-4-scout,natcond|all,,,,0.1234,-0.0093,0.237,400,,0.1141,0.0735
